Gene	Gene panel	CNA	Custom Driver	Custom Driver Tiers	Cytoband	mRNA Expr.	Cohort
FGF14	N/A	DeepDel			13q33.1	65.28	<1%
LRP1B	N/A	DeepDel			2q22.1-q22.2	21.25	5%
EPHA3	N/A	DeepDel			3p11.1	5.31	<1%
INPP4B	N/A	DeepDel			4q31.21	73.62	<1%
RSPO3	N/A	DeepDel			6q22.33	2.28	<1%
PAK3	N/A	DeepDel			Xq23	20.49	<1%
NEGR1	N/A	DeepDel			1p31.1	2.66	<1%
DPYD	N/A	DeepDel			1p21.3	33.4	<1%
EPHA5	N/A	DeepDel			4q13.1-q13.2	N/A	<1%
PIK3C2G	N/A	DeepDel			12p12.3	N/A	<1%
ZBTB20	N/A	DeepDel			3q13.31	30.36	<1%
KCNT2	N/A	DeepDel			1q31.3	N/A	N/A
AGAP1	N/A	DeepDel			2q37.2	N/A	N/A
RBMS3	N/A	DeepDel			3p24.1	N/A	N/A
EPHA6	N/A	DeepDel			3q11.2	N/A	N/A
CCSER1	N/A	DeepDel			4q22.1	N/A	N/A
PAM	N/A	DeepDel			5q21.1	N/A	N/A
GRIK2	N/A	DeepDel			6q16.3	N/A	N/A
PPP1R3A	N/A	DeepDel			7q31.1	N/A	N/A
FOXP2	N/A	DeepDel			7q31.1	N/A	N/A
CPED1	N/A	DeepDel			7q31.31	N/A	N/A
SPAM1	N/A	DeepDel			7q31	N/A	N/A
CHRM2	N/A	DeepDel			7q33	N/A	N/A
PTN	N/A	DeepDel			7q33	N/A	N/A
SGCZ	N/A	DeepDel			8p22	N/A	N/A
FOCAD	N/A	DeepDel			9p21.3	N/A	N/A
LINGO2	N/A	DeepDel			9p21.2-p21.1	N/A	N/A
PRKG1	N/A	DeepDel			10q11.23-q21.1	N/A	N/A
DLG2	N/A	DeepDel			11q14.1	N/A	N/A
TAFA2	N/A	DeepDel			12q14.1	N/A	N/A
LINC00333	N/A	DeepDel			13q31.1	N/A	N/A
MIR4500HG	N/A	DeepDel			13q31.2	N/A	N/A
GPC5	N/A	DeepDel			13q31.3	N/A	N/A
GPC6	N/A	DeepDel			13q31.3-q32.1	N/A	N/A
AGBL1	N/A	DeepDel			15q25.3	N/A	N/A
NCAM2	N/A	DeepDel			21q21.1	N/A	N/A
MGAT4C	N/A	DeepDel			12q21.31-q21.32	N/A	N/A
LRRIQ1	N/A	DeepDel			12q21.31	N/A	N/A
ARAP2	N/A	DeepDel			4p14	N/A	N/A
ARPP21	N/A	DeepDel			3p22.3	N/A	N/A
BMPER	N/A	DeepDel			7p14.3	N/A	N/A
FAM227B	N/A	DeepDel			15q21.2	N/A	N/A
CDH8	N/A	DeepDel			16q21	N/A	N/A
CENPW	N/A	DeepDel			6q22.32	N/A	N/A
COL3A1	N/A	DeepDel			2q32.2	N/A	N/A
ECHDC1	N/A	DeepDel			6q22.33	N/A	N/A
EDNRB	N/A	DeepDel			13q22.3	N/A	N/A
FGF7	N/A	DeepDel			15q21.2	N/A	N/A
FUT9	N/A	DeepDel			6q16.1	N/A	N/A
GRM1	N/A	DeepDel			6q24.3	N/A	N/A
GRM7	N/A	DeepDel			3p26.1	N/A	N/A
GULP1	N/A	DeepDel			2q32.1-q32.2	N/A	N/A
IFT57	N/A	DeepDel			3q13.12-q13.13	N/A	N/A
ITGA2	N/A	DeepDel			5q11.2	N/A	N/A
KCNC2	N/A	DeepDel			12q21.1	N/A	N/A
KCNH7	N/A	DeepDel			2q24.2	N/A	N/A
KYNU	N/A	DeepDel			2q22.2	N/A	N/A
LINC00971	N/A	DeepDel			3p12.1	N/A	N/A
PLPPR1	N/A	DeepDel			9q31.1	N/A	N/A
PLPPR5	N/A	DeepDel			1p21.3	N/A	N/A
NKAIN2	N/A	DeepDel			6q22.31	N/A	N/A
NRXN1	N/A	DeepDel			2p16.3	N/A	N/A
NRXN3	N/A	DeepDel			14q24.3-q31.1	N/A	N/A
PDE1A	N/A	DeepDel			2q32.1	N/A	N/A
RGS18	N/A	DeepDel			1q31.2	N/A	N/A
RNF146	N/A	DeepDel			6q22.33	N/A	N/A
SCN1A	N/A	DeepDel			2q24.3	N/A	N/A
SCN9A	N/A	DeepDel			2q24.3	N/A	N/A
THSD7B	N/A	DeepDel			2q22.1	N/A	N/A
TRDN	N/A	DeepDel			6q22.31	N/A	N/A
TTN	N/A	DeepDel			2q31.2	N/A	N/A
TYRP1	N/A	DeepDel			9p23	N/A	N/A
XIRP2	N/A	DeepDel			2q24.3	N/A	N/A
GPC6-AS2	N/A	DeepDel			13q31.3	N/A	N/A
LINC03106	N/A	DeepDel			9p21.2	N/A	N/A
RNU6-67P	N/A	DeepDel			13q31.1	N/A	N/A
RGS13	N/A	DeepDel			1q31.2	N/A	N/A
CRB1	N/A	DeepDel			1q31.3	N/A	N/A
ZBBX	N/A	DeepDel			3q26.1	N/A	N/A
NLGN1	N/A	DeepDel			3q26.31	N/A	N/A
ODAM	N/A	DeepDel			4q13.3	N/A	N/A
FDCSP	N/A	DeepDel			4q13.3	N/A	N/A
CSN3	N/A	DeepDel			4q13.3	N/A	N/A
GABRB2	N/A	DeepDel			5q34	N/A	N/A
EYS	N/A	DeepDel			6q12	N/A	N/A
RIMS1	N/A	DeepDel			6q13	N/A	N/A
SLCO1B7	N/A	DeepDel			12p12.2	N/A	N/A
CCDC91	N/A	DeepDel			12p11.22	N/A	N/A
PTPRQ	N/A	DeepDel			12q21.31	N/A	N/A
PPFIA2	N/A	DeepDel			12q21.31	N/A	N/A
UNC13C	N/A	DeepDel			15q21.3	N/A	N/A
CHODL	N/A	DeepDel			21q21.1	N/A	N/A
DENND1B	N/A	DeepDel			1q31.3	N/A	N/A
CPNE4	N/A	DeepDel			3q22.1	N/A	N/A
RSRC1	N/A	DeepDel			3q25.32	N/A	N/A
GRID2	N/A	DeepDel			4q22.1-q22.2	N/A	N/A
PRR16	N/A	DeepDel			5q23.1	N/A	N/A
PTCHD4	N/A	DeepDel			6p12.3	N/A	N/A
BMP5	N/A	DeepDel			6p12.1	N/A	N/A
KHDRBS2	N/A	DeepDel			6q11.1	N/A	N/A
CALCR	N/A	DeepDel			7q21.3	N/A	N/A
LINC00536	N/A	DeepDel			8q23.3	N/A	N/A
CNTN5	N/A	DeepDel			11q22.1	N/A	N/A
